Tenure,WarehouseToHome,NumberOfDeviceRegistered,SatisfactionScore,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount,Churn,IsNewCustomer,LowSatisfaction,HighCashback,RecentlyActive,MaritalStatus_Married,MaritalStatus_Single,PreferedOrderCat_Grocery,PreferedOrderCat_Laptop & Accessory,PreferedOrderCat_Mobile,PreferedOrderCat_Others
3,12,4,1,5,0,1,145.86,1,1,1,0,1,True,False,False,True,False,False
11,7,5,5,4,0,3,164.2,0,0,0,0,1,False,False,False,False,True,False
0,5,4,3,2,0,2,130.33,0,1,0,0,1,False,True,False,False,True,False
11,11,4,3,9,1,4,154.96,0,0,0,0,0,False,False,False,False,True,False
0,22,3,5,3,1,0,185.64,1,1,0,1,1,False,True,False,False,False,False
10,13,2,1,5,0,1,155.38,0,0,1,0,1,True,False,False,False,True,False
1,22,4,3,3,0,3,151.1,1,1,0,0,1,True,False,False,False,True,False
1,6,4,1,2,1,7,168.34,0,1,1,1,0,True,False,False,True,False,False
9,9,4,1,4,0,8,182.62,0,0,1,1,0,True,False,False,True,False,False
2,10,4,4,3,0,1,153.56,0,1,0,0,1,True,False,False,False,True,False
30,15,4,5,6,1,3,167.57,0,0,0,1,1,True,False,False,False,True,False
12,23,4,4,4,0,3,166.98,0,0,0,1,1,False,True,False,True,False,False
8,22,3,3,5,1,0,176.32,0,0,0,1,1,True,False,False,False,False,False
22,26,3,5,2,0,11,165.67,0,0,0,1,0,True,False,False,True,False,False
8,33,3,3,3,0,7,168.83,0,0,0,1,0,True,False,False,True,False,False
20,32,3,3,4,0,0,296.58,0,0,0,1,1,True,False,False,False,False,True
20,20,3,4,9,0,7,154.67,0,0,0,0,0,True,False,False,True,False,False
0,10,3,2,2,1,2,128.75,0,1,1,0,1,False,True,False,False,True,False
28,24,4,3,10,0,9,232.39,0,0,0,1,0,True,False,False,False,False,False
22,7,2,1,4,0,2,293.85,0,0,1,1,1,False,True,True,False,False,False
16,21,4,3,2,0,11,276.03,0,0,0,1,0,True,False,True,False,False,False
7,9,5,1,6,0,2,160.29,0,0,1,0,1,False,True,False,True,False,False
1,28,4,3,3,0,1,148.77,1,1,0,0,1,True,False,False,False,True,False
4,8,4,5,4,0,0,164.1,0,1,0,0,1,False,False,False,True,False,False
25,13,5,3,2,0,8,153.38,0,0,0,0,0,False,True,False,False,True,False
14,33,4,5,3,0,6,208.96,0,0,0,1,0,True,False,False,True,False,False
4,9,4,4,3,0,1,149.76,0,1,0,0,1,False,False,False,False,True,False
18,15,4,3,2,0,12,155.93,0,0,0,0,0,False,False,False,True,False,False
18,27,4,4,3,0,4,159.2,0,0,0,0,0,False,True,False,False,True,False
11,17,4,4,4,1,2,166.97,0,0,0,1,1,False,True,False,True,False,False
8,18,5,4,6,0,9,169.9,0,0,0,1,0,True,False,False,True,False,False
18,35,4,5,5,0,18,288.28,0,0,0,1,0,True,False,True,False,False,False
13,11,4,3,2,0,9,175.42,0,0,0,1,0,False,True,False,True,False,False
31,22,4,3,4,1,3,282.87,0,0,0,1,1,True,False,True,False,False,False
0,17,1,3,9,0,2,147.07,1,1,0,0,1,True,False,False,True,False,False
1,25,2,5,2,0,1,154.56,1,1,0,0,1,True,False,False,False,True,False
1,14,4,4,3,1,1,149.72,1,1,0,0,1,False,True,False,False,True,False
20,22,4,4,7,0,4,315.81,0,0,0,1,0,False,False,False,False,False,True
4,11,3,1,1,1,3,148.21,0,1,1,0,1,True,False,False,False,True,False
1,7,3,5,2,0,2,135.91,0,1,0,0,1,True,False,False,False,True,False
8,22,4,4,1,1,2,147.88,0,0,0,0,1,True,False,False,True,False,False
13,15,3,3,4,0,7,139.75,0,0,0,0,0,True,False,False,True,False,False
1,16,4,4,3,0,4,147.79,0,1,0,0,0,False,True,False,False,True,False
25,17,3,3,9,0,4,131.49,0,0,0,0,0,False,False,False,True,False,False
0,22,5,5,2,1,7,139.19,1,1,0,0,0,False,True,False,False,True,False
15,35,5,4,2,0,11,260.7,0,0,0,1,0,True,False,True,False,False,False
7,16,3,3,2,1,7,140.01,0,0,0,0,0,True,False,False,True,False,False
11,6,4,5,5,0,0,128.58,0,0,0,0,1,False,True,False,False,True,False
24,7,4,3,2,0,14,188.47,0,0,0,1,0,True,False,False,True,False,False
29,21,2,4,10,0,16,312.22,0,0,0,1,0,False,True,False,False,False,True
15,12,3,5,10,0,7,233.48,0,0,0,1,0,True,False,False,False,False,False
4,14,3,1,2,0,8,144.24,0,1,1,0,0,False,True,False,True,False,False
0,8,4,1,8,0,0,127.85,1,1,1,0,1,False,True,False,False,True,False
7,6,1,1,3,0,3,132.8,0,0,1,0,1,False,True,False,False,True,False
2,11,4,3,3,0,5,167.21,0,1,0,1,0,True,False,False,True,False,False
9,34,5,5,3,0,2,150.59,0,0,0,0,1,False,True,False,False,True,False
4,8,3,3,1,0,2,130.67,0,1,0,0,1,True,False,False,False,True,False
10,18,5,1,6,0,1,191.52,0,0,1,1,1,True,False,False,True,False,False
7,32,4,3,3,0,2,170.39,0,0,0,1,1,False,False,False,True,False,False
1,7,6,4,9,1,8,147.16,1,1,0,0,0,False,True,False,False,True,False
0,9,4,1,2,1,7,203.25,1,1,1,1,0,True,False,False,False,False,False
19,11,4,4,3,0,9,169.47,0,0,0,1,0,False,False,False,True,False,False
16,32,3,1,2,1,12,269.59,0,0,1,1,0,True,False,True,False,False,False
4,9,5,5,2,0,8,174.68,0,1,0,1,0,False,True,False,False,True,False
16,36,4,3,4,0,3,170.56,0,0,0,1,1,True,False,False,True,False,False
0,12,3,5,3,0,3,129.6,1,1,0,0,1,False,True,False,False,True,False
30,13,1,1,1,1,9,152.2,0,0,1,0,0,True,False,False,True,False,False
15,7,4,5,2,0,8,166.03,0,0,0,1,0,True,False,False,True,False,False
6,9,4,3,6,1,8,174.98,0,0,0,1,0,False,True,False,True,False,False
30,13,3,5,6,0,10,295.66,0,0,0,1,0,False,False,False,False,False,True
5,14,5,3,5,0,3,148.29,0,1,0,0,1,False,False,False,False,True,False
1,27,3,2,2,0,2,127.13,0,1,1,0,1,False,False,False,False,True,False
7,9,4,1,3,0,5,180.05,0,0,1,1,0,True,False,False,True,False,False
1,13,4,1,3,1,3,81.0,0,1,1,0,1,True,False,False,False,True,False
2,23,3,5,2,0,8,181.61,0,1,0,1,0,False,True,False,True,False,False
16,19,4,4,10,0,5,152.66,0,0,0,0,0,True,False,False,False,True,False
19,9,1,5,3,0,8,232.25,0,0,0,1,0,True,False,True,False,False,False
16,14,2,4,8,1,1,148.72,0,0,0,0,1,True,False,False,True,False,False
11,9,3,2,9,1,0,168.61,0,0,1,1,1,False,True,False,True,False,False
10,21,4,1,2,1,12,190.86,0,0,1,1,0,True,False,False,True,False,False
15,14,6,3,3,0,11,324.73,0,0,0,1,0,True,False,False,False,False,True
14,14,4,4,3,0,9,323.33,0,0,0,1,0,False,True,False,False,False,True
1,31,2,5,3,0,1,135.91,1,1,0,0,1,False,True,False,False,True,False
23,8,3,3,6,0,3,276.39,0,0,0,1,1,True,False,True,False,False,False
13,32,3,4,2,0,13,156.05,0,0,0,0,0,True,False,False,True,False,False
0,6,3,4,2,1,4,132.02,1,1,0,0,0,False,True,False,False,True,False
19,13,3,3,3,0,0,152.58,0,0,0,0,1,True,False,False,True,False,False
25,14,3,5,10,0,4,129.5,0,0,0,0,0,True,False,False,False,True,False
1,7,6,4,8,0,1,192.35,1,1,0,1,1,False,True,False,True,False,False
19,14,3,3,6,0,3,189.34,0,0,0,1,1,False,False,False,True,False,False
6,31,3,3,2,0,1,145.39,0,0,0,0,1,True,False,False,True,False,False
1,32,4,5,2,0,4,147.24,0,1,0,0,0,True,False,False,True,False,False
16,12,4,3,6,0,1,145.93,0,0,0,0,1,True,False,False,False,True,False
9,13,4,3,2,1,3,160.06,0,0,0,0,1,False,False,False,False,True,False
1,26,3,2,10,1,5,178.04,1,1,1,1,0,False,True,False,True,False,False
7,9,4,2,2,0,3,150.0,0,0,1,0,1,False,True,False,False,True,False
1,25,2,3,4,0,3,187.32,0,1,0,1,1,False,False,False,True,False,False
8,17,4,3,3,1,1,147.2,0,0,0,0,1,False,False,False,False,True,False
7,12,5,1,3,0,3,154.11,0,0,1,0,1,True,False,False,False,True,False
16,16,4,1,3,0,9,161.73,0,0,1,0,0,False,True,False,False,True,False
3,16,4,3,2,0,4,165.78,0,1,0,1,0,True,False,False,True,False,False
11,8,3,1,6,1,2,139.44,0,0,1,0,1,False,True,False,False,True,False
13,11,4,5,6,1,12,204.75,0,0,0,1,0,False,False,False,False,False,False
17,22,5,3,3,0,12,301.03,0,0,0,1,0,True,False,True,False,False,False
11,12,5,1,8,1,9,153.29,0,0,1,0,0,True,False,False,True,False,False
7,15,4,3,4,1,1,188.88,0,0,0,1,1,False,True,False,True,False,False
6,12,5,4,5,0,6,183.78,0,0,0,1,0,True,False,False,True,False,False
11,10,3,3,8,0,0,133.06,0,0,0,0,1,True,False,False,False,True,False
15,32,3,5,4,1,0,231.91000000000005,0,0,0,1,1,True,False,False,False,False,False
13,35,5,5,5,0,4,167.84,1,0,0,1,0,False,True,False,True,False,False
6,12,4,4,4,0,8,152.18,0,0,0,0,0,False,True,False,False,True,False
7,8,3,1,2,0,4,162.74,0,0,1,0,0,False,True,False,True,False,False
0,13,5,3,2,1,6,160.74,1,1,0,0,0,False,True,False,True,False,False
16,9,5,2,5,0,1,192.81,0,0,1,1,1,False,True,False,True,False,False
5,17,4,1,4,1,5,190.83,0,1,1,1,0,True,False,False,True,False,False
19,8,3,1,5,1,3,203.68,0,0,1,1,1,True,False,False,False,False,False
0,13,4,5,9,0,7,168.11,0,1,0,1,0,False,True,False,True,False,False
20,31,4,1,3,0,1,150.87,1,0,1,0,1,False,True,False,False,True,False
8,7,4,4,3,0,4,168.25,0,0,0,1,0,True,False,False,True,False,False
12,8,4,1,9,0,4,152.04,0,0,1,0,0,True,False,False,True,False,False
1,8,4,3,3,0,2,137.23,0,1,0,0,1,True,False,False,False,True,False
4,13,3,5,3,0,2,196.37,0,1,0,1,1,True,False,False,False,False,False
9,7,5,5,3,0,3,149.5,0,0,0,0,1,False,True,False,False,True,False
12,16,5,4,2,0,3,153.99,0,0,0,0,1,False,False,False,False,True,False
25,7,4,2,3,0,1,152.23,0,0,1,0,1,False,False,False,False,True,False
21,9,4,1,3,1,1,292.52,0,0,1,1,1,True,False,True,False,False,False
7,8,1,1,1,1,2,129.32,0,0,1,0,1,True,False,False,False,True,False
7,12,3,3,2,0,10,148.09,0,0,0,0,0,False,True,False,True,False,False
3,16,3,3,10,0,2,196.67,0,1,0,1,1,False,True,False,False,False,False
0,9,3,5,1,0,4,131.02,1,1,0,0,0,False,True,False,False,True,False
1,13,2,5,3,1,1,141.01,1,1,0,0,1,True,False,False,False,True,False
13,8,3,4,4,0,10,156.77,0,0,0,0,0,True,False,False,True,False,False
0,8,3,4,10,0,2,134.68,0,1,0,0,1,True,False,False,False,True,False
17,11,4,3,4,0,3,131.62,0,0,0,0,1,False,True,False,False,True,False
14,15,4,1,5,1,3,165.69,0,0,1,1,1,True,False,False,True,False,False
9,9,6,4,4,1,12,313.24,1,0,0,1,0,False,True,False,False,False,True
0,15,4,5,8,0,3,134.07,1,1,0,0,1,False,True,False,False,True,False
20,33,5,4,10,0,3,204.91,0,0,0,1,1,False,True,False,True,False,False
17,16,3,1,3,1,3,164.65,0,0,1,0,1,True,False,False,True,False,False
17,35,2,3,6,0,3,172.39,0,0,0,1,1,False,True,False,False,True,False
0,10,5,2,2,0,8,204.0,1,1,1,1,0,False,False,False,False,False,False
1,17,5,3,3,0,3,151.25,1,1,0,0,1,False,True,False,False,True,False
0,6,3,4,2,0,4,138.16,0,1,0,0,0,True,False,False,False,True,False
20,7,4,2,11,0,3,321.27,0,0,1,1,1,True,False,False,False,False,True
21,21,4,5,4,0,8,174.6,0,0,0,1,0,False,True,False,True,False,False
29,15,4,3,4,1,3,272.56,0,0,0,1,1,True,False,True,False,False,False
23,7,4,5,4,0,3,160.8,0,0,0,0,1,True,False,False,False,True,False
13,15,3,3,10,0,13,234.99,0,0,0,1,0,False,True,False,False,False,False
6,13,4,3,5,0,5,155.38,0,0,0,0,0,False,True,False,False,True,False
4,14,4,5,5,1,4,146.66,1,1,0,0,0,False,True,False,False,True,False
5,9,5,5,5,0,1,189.1,0,1,0,1,1,False,False,False,True,False,False
6,15,5,3,9,0,3,153.46,1,0,0,0,1,False,True,False,True,False,False
3,10,4,4,2,1,7,152.09,0,1,0,0,0,True,False,False,True,False,False
5,14,1,3,6,0,3,151.75,0,1,0,0,1,False,False,False,True,False,False
1,6,5,3,3,0,3,155.33,0,1,0,0,1,False,True,False,False,True,False
11,17,4,5,2,1,4,152.82,0,0,0,0,0,True,False,False,False,True,False
10,25,3,4,2,1,9,176.42,0,0,0,1,0,False,True,False,False,False,False
27,9,5,1,4,0,8,279.27,0,0,1,1,0,True,False,True,False,False,False
1,10,4,5,2,0,5,156.02,1,1,0,0,0,False,True,False,False,True,False
27,13,4,1,4,0,3,149.5,0,0,1,0,1,False,True,False,True,False,False
5,16,3,1,2,0,8,153.96,0,1,1,0,0,False,True,False,True,False,False
17,6,4,3,5,0,2,159.85,0,0,0,0,1,False,True,False,True,False,False
28,14,4,4,2,1,0,235.77,0,0,0,1,1,True,False,True,False,False,False
6,17,4,1,3,0,9,178.96,0,0,1,1,0,False,True,False,True,False,False
1,7,5,4,3,0,1,153.36,0,1,0,0,1,False,True,False,False,True,False
3,28,3,5,1,0,8,184.12,0,1,0,1,0,True,False,False,False,False,False
16,12,4,2,5,1,0,266.27,0,0,1,1,1,True,False,True,False,False,False
14,9,5,3,4,0,3,153.09,0,0,0,0,1,False,True,False,False,True,False
13,8,3,5,5,0,2,133.77,0,0,0,0,1,True,False,False,False,True,False
9,12,5,3,2,0,7,127.41,0,0,0,0,0,True,False,False,False,True,False
17,8,3,3,6,1,2,202.09,0,0,0,1,1,False,True,False,False,False,False
16,12,4,1,5,1,0,266.27,0,0,1,1,1,True,False,True,False,False,False
19,9,3,3,4,0,9,274.65,0,0,0,1,0,False,False,True,False,False,False
6,31,3,3,2,0,1,145.39,0,0,0,0,1,False,False,False,True,False,False
14,12,4,4,7,1,2,160.32,0,0,0,0,1,False,True,False,True,False,False
8,13,4,1,2,0,1,126.9,0,0,1,0,1,True,False,False,False,True,False
9,16,3,1,2,0,7,199.8,0,0,1,1,0,False,True,False,False,False,False
18,13,3,5,3,0,0,197.24,0,0,0,1,1,True,False,False,False,False,False
0,8,3,1,1,0,2,142.27,0,1,1,0,1,True,False,False,True,False,False
3,13,5,4,3,0,1,153.04,0,1,0,0,1,True,False,False,False,True,False
4,25,4,3,3,0,5,151.32,0,1,0,0,0,False,True,False,False,True,False
11,7,5,3,3,0,8,184.93,0,0,0,1,0,True,False,False,True,False,False
1,29,4,3,6,1,2,146.32,1,1,0,0,1,False,False,False,False,True,False
16,30,3,5,7,1,2,204.48,1,0,0,1,1,False,True,False,False,False,False
7,16,1,1,2,0,2,147.24,0,0,1,0,1,True,False,False,True,False,False
5,19,4,1,10,1,3,164.29,0,1,1,0,1,True,False,False,False,True,False
1,25,4,3,2,1,3,171.14,1,1,0,1,1,False,False,False,True,False,False
